Load Forecast,Time Stamp
555,2017-12-26 00:00:00
553,2017-12-26 01:00:00
551,2017-12-26 02:00:00
552,2017-12-26 03:00:00
557,2017-12-26 04:00:00
568,2017-12-26 05:00:00
585,2017-12-26 06:00:00
597,2017-12-26 07:00:00
606,2017-12-26 08:00:00
617,2017-12-26 09:00:00
621,2017-12-26 10:00:00
621,2017-12-26 11:00:00
618,2017-12-26 12:00:00
614,2017-12-26 13:00:00
612,2017-12-26 14:00:00
613,2017-12-26 15:00:00
624,2017-12-26 16:00:00
634,2017-12-26 17:00:00
635,2017-12-26 18:00:00
632,2017-12-26 19:00:00
627,2017-12-26 20:00:00
616,2017-12-26 21:00:00
602,2017-12-26 22:00:00
592,2017-12-26 23:00:00
588,2017-12-27 00:00:00
585,2017-12-27 01:00:00
586,2017-12-27 02:00:00
589,2017-12-27 03:00:00
597,2017-12-27 04:00:00
614,2017-12-27 05:00:00
638,2017-12-27 06:00:00
656,2017-12-27 07:00:00
660,2017-12-27 08:00:00
665,2017-12-27 09:00:00
665,2017-12-27 10:00:00
662,2017-12-27 11:00:00
656,2017-12-27 12:00:00
650,2017-12-27 13:00:00
648,2017-12-27 14:00:00
649,2017-12-27 15:00:00
665,2017-12-27 16:00:00
679,2017-12-27 17:00:00
682,2017-12-27 18:00:00
680,2017-12-27 19:00:00
672,2017-12-27 20:00:00
659,2017-12-27 21:00:00
641,2017-12-27 22:00:00
626,2017-12-27 23:00:00
611,2017-12-28 00:00:00
607,2017-12-28 01:00:00
608,2017-12-28 02:00:00
612,2017-12-28 03:00:00
620,2017-12-28 04:00:00
638,2017-12-28 05:00:00
663,2017-12-28 06:00:00
683,2017-12-28 07:00:00
687,2017-12-28 08:00:00
694,2017-12-28 09:00:00
694,2017-12-28 10:00:00
691,2017-12-28 11:00:00
683,2017-12-28 12:00:00
675,2017-12-28 13:00:00
671,2017-12-28 14:00:00
671,2017-12-28 15:00:00
687,2017-12-28 16:00:00
700,2017-12-28 17:00:00
702,2017-12-28 18:00:00
700,2017-12-28 19:00:00
692,2017-12-28 20:00:00
677,2017-12-28 21:00:00
658,2017-12-28 22:00:00
641,2017-12-28 23:00:00
632,2017-12-29 00:00:00
628,2017-12-29 01:00:00
628,2017-12-29 02:00:00
630,2017-12-29 03:00:00
635,2017-12-29 04:00:00
648,2017-12-29 05:00:00
667,2017-12-29 06:00:00
684,2017-12-29 07:00:00
689,2017-12-29 08:00:00
699,2017-12-29 09:00:00
699,2017-12-29 10:00:00
696,2017-12-29 11:00:00
687,2017-12-29 12:00:00
679,2017-12-29 13:00:00
674,2017-12-29 14:00:00
674,2017-12-29 15:00:00
684,2017-12-29 16:00:00
690,2017-12-29 17:00:00
689,2017-12-29 18:00:00
685,2017-12-29 19:00:00
679,2017-12-29 20:00:00
669,2017-12-29 21:00:00
655,2017-12-29 22:00:00
642,2017-12-29 23:00:00
633,2017-12-30 00:00:00
628,2017-12-30 01:00:00
626,2017-12-30 02:00:00
626,2017-12-30 03:00:00
627,2017-12-30 04:00:00
631,2017-12-30 05:00:00
635,2017-12-30 06:00:00
645,2017-12-30 07:00:00
656,2017-12-30 08:00:00
668,2017-12-30 09:00:00
668,2017-12-30 10:00:00
662,2017-12-30 11:00:00
653,2017-12-30 12:00:00
648,2017-12-30 13:00:00
643,2017-12-30 14:00:00
641,2017-12-30 15:00:00
649,2017-12-30 16:00:00
653,2017-12-30 17:00:00
652,2017-12-30 18:00:00
648,2017-12-30 19:00:00
644,2017-12-30 20:00:00
640,2017-12-30 21:00:00
632,2017-12-30 22:00:00
622,2017-12-30 23:00:00
613,2017-12-31 00:00:00
608,2017-12-31 01:00:00
606,2017-12-31 02:00:00
606,2017-12-31 03:00:00
609,2017-12-31 04:00:00
616,2017-12-31 05:00:00
625,2017-12-31 06:00:00
637,2017-12-31 07:00:00
649,2017-12-31 08:00:00
668,2017-12-31 09:00:00
669,2017-12-31 10:00:00
662,2017-12-31 11:00:00
651,2017-12-31 12:00:00
643,2017-12-31 13:00:00
638,2017-12-31 14:00:00
638,2017-12-31 15:00:00
650,2017-12-31 16:00:00
665,2017-12-31 17:00:00
665,2017-12-31 18:00:00
656,2017-12-31 19:00:00
648,2017-12-31 20:00:00
639,2017-12-31 21:00:00
628,2017-12-31 22:00:00
617,2017-12-31 23:00:00
