Load Forecast,Time Stamp
393,2017-09-03 00:00:00
381,2017-09-03 01:00:00
374,2017-09-03 02:00:00
371,2017-09-03 03:00:00
371,2017-09-03 04:00:00
376,2017-09-03 05:00:00
381,2017-09-03 06:00:00
394,2017-09-03 07:00:00
417,2017-09-03 08:00:00
438,2017-09-03 09:00:00
450,2017-09-03 10:00:00
458,2017-09-03 11:00:00
461,2017-09-03 12:00:00
459,2017-09-03 13:00:00
456,2017-09-03 14:00:00
454,2017-09-03 15:00:00
458,2017-09-03 16:00:00
462,2017-09-03 17:00:00
462,2017-09-03 18:00:00
465,2017-09-03 19:00:00
470,2017-09-03 20:00:00
456,2017-09-03 21:00:00
439,2017-09-03 22:00:00
424,2017-09-03 23:00:00
406,2017-09-04 00:00:00
397,2017-09-04 01:00:00
391,2017-09-04 02:00:00
389,2017-09-04 03:00:00
391,2017-09-04 04:00:00
398,2017-09-04 05:00:00
405,2017-09-04 06:00:00
414,2017-09-04 07:00:00
431,2017-09-04 08:00:00
445,2017-09-04 09:00:00
455,2017-09-04 10:00:00
460,2017-09-04 11:00:00
462,2017-09-04 12:00:00
461,2017-09-04 13:00:00
459,2017-09-04 14:00:00
457,2017-09-04 15:00:00
460,2017-09-04 16:00:00
462,2017-09-04 17:00:00
461,2017-09-04 18:00:00
466,2017-09-04 19:00:00
473,2017-09-04 20:00:00
459,2017-09-04 21:00:00
441,2017-09-04 22:00:00
425,2017-09-04 23:00:00
418,2017-09-05 00:00:00
412,2017-09-05 01:00:00
408,2017-09-05 02:00:00
407,2017-09-05 03:00:00
411,2017-09-05 04:00:00
425,2017-09-05 05:00:00
445,2017-09-05 06:00:00
455,2017-09-05 07:00:00
458,2017-09-05 08:00:00
452,2017-09-05 09:00:00
462,2017-09-05 10:00:00
471,2017-09-05 11:00:00
476,2017-09-05 12:00:00
477,2017-09-05 13:00:00
477,2017-09-05 14:00:00
476,2017-09-05 15:00:00
478,2017-09-05 16:00:00
479,2017-09-05 17:00:00
476,2017-09-05 18:00:00
478,2017-09-05 19:00:00
477,2017-09-05 20:00:00
457,2017-09-05 21:00:00
437,2017-09-05 22:00:00
420,2017-09-05 23:00:00
415,2017-09-06 00:00:00
408,2017-09-06 01:00:00
404,2017-09-06 02:00:00
403,2017-09-06 03:00:00
408,2017-09-06 04:00:00
423,2017-09-06 05:00:00
442,2017-09-06 06:00:00
451,2017-09-06 07:00:00
452,2017-09-06 08:00:00
441,2017-09-06 09:00:00
452,2017-09-06 10:00:00
462,2017-09-06 11:00:00
465,2017-09-06 12:00:00
466,2017-09-06 13:00:00
465,2017-09-06 14:00:00
464,2017-09-06 15:00:00
466,2017-09-06 16:00:00
468,2017-09-06 17:00:00
465,2017-09-06 18:00:00
468,2017-09-06 19:00:00
469,2017-09-06 20:00:00
451,2017-09-06 21:00:00
431,2017-09-06 22:00:00
416,2017-09-06 23:00:00
408,2017-09-07 00:00:00
402,2017-09-07 01:00:00
400,2017-09-07 02:00:00
400,2017-09-07 03:00:00
407,2017-09-07 04:00:00
425,2017-09-07 05:00:00
449,2017-09-07 06:00:00
458,2017-09-07 07:00:00
458,2017-09-07 08:00:00
445,2017-09-07 09:00:00
449,2017-09-07 10:00:00
453,2017-09-07 11:00:00
454,2017-09-07 12:00:00
454,2017-09-07 13:00:00
450,2017-09-07 14:00:00
447,2017-09-07 15:00:00
448,2017-09-07 16:00:00
451,2017-09-07 17:00:00
450,2017-09-07 18:00:00
456,2017-09-07 19:00:00
460,2017-09-07 20:00:00
443,2017-09-07 21:00:00
424,2017-09-07 22:00:00
410,2017-09-07 23:00:00
408,2017-09-08 00:00:00
403,2017-09-08 01:00:00
400,2017-09-08 02:00:00
401,2017-09-08 03:00:00
407,2017-09-08 04:00:00
424,2017-09-08 05:00:00
448,2017-09-08 06:00:00
457,2017-09-08 07:00:00
457,2017-09-08 08:00:00
448,2017-09-08 09:00:00
450,2017-09-08 10:00:00
452,2017-09-08 11:00:00
451,2017-09-08 12:00:00
449,2017-09-08 13:00:00
445,2017-09-08 14:00:00
442,2017-09-08 15:00:00
440,2017-09-08 16:00:00
442,2017-09-08 17:00:00
440,2017-09-08 18:00:00
446,2017-09-08 19:00:00
450,2017-09-08 20:00:00
437,2017-09-08 21:00:00
423,2017-09-08 22:00:00
411,2017-09-08 23:00:00
