Load Forecast,Time Stamp
401,2017-06-16 00:00:00
393,2017-06-16 01:00:00
389,2017-06-16 02:00:00
388,2017-06-16 03:00:00
391,2017-06-16 04:00:00
401,2017-06-16 05:00:00
421,2017-06-16 06:00:00
441,2017-06-16 07:00:00
449,2017-06-16 08:00:00
454,2017-06-16 09:00:00
458,2017-06-16 10:00:00
461,2017-06-16 11:00:00
461,2017-06-16 12:00:00
460,2017-06-16 13:00:00
456,2017-06-16 14:00:00
455,2017-06-16 15:00:00
456,2017-06-16 16:00:00
455,2017-06-16 17:00:00
451,2017-06-16 18:00:00
448,2017-06-16 19:00:00
450,2017-06-16 20:00:00
450,2017-06-16 21:00:00
437,2017-06-16 22:00:00
421,2017-06-16 23:00:00
409,2017-06-17 00:00:00
401,2017-06-17 01:00:00
395,2017-06-17 02:00:00
393,2017-06-17 03:00:00
393,2017-06-17 04:00:00
397,2017-06-17 05:00:00
407,2017-06-17 06:00:00
422,2017-06-17 07:00:00
437,2017-06-17 08:00:00
448,2017-06-17 09:00:00
455,2017-06-17 10:00:00
460,2017-06-17 11:00:00
460,2017-06-17 12:00:00
460,2017-06-17 13:00:00
459,2017-06-17 14:00:00
458,2017-06-17 15:00:00
460,2017-06-17 16:00:00
462,2017-06-17 17:00:00
461,2017-06-17 18:00:00
458,2017-06-17 19:00:00
456,2017-06-17 20:00:00
455,2017-06-17 21:00:00
443,2017-06-17 22:00:00
429,2017-06-17 23:00:00
422,2017-06-18 00:00:00
414,2017-06-18 01:00:00
408,2017-06-18 02:00:00
404,2017-06-18 03:00:00
403,2017-06-18 04:00:00
404,2017-06-18 05:00:00
411,2017-06-18 06:00:00
426,2017-06-18 07:00:00
442,2017-06-18 08:00:00
452,2017-06-18 09:00:00
463,2017-06-18 10:00:00
472,2017-06-18 11:00:00
475,2017-06-18 12:00:00
476,2017-06-18 13:00:00
476,2017-06-18 14:00:00
477,2017-06-18 15:00:00
481,2017-06-18 16:00:00
483,2017-06-18 17:00:00
482,2017-06-18 18:00:00
478,2017-06-18 19:00:00
475,2017-06-18 20:00:00
470,2017-06-18 21:00:00
451,2017-06-18 22:00:00
434,2017-06-18 23:00:00
429,2017-06-19 00:00:00
423,2017-06-19 01:00:00
418,2017-06-19 02:00:00
415,2017-06-19 03:00:00
416,2017-06-19 04:00:00
423,2017-06-19 05:00:00
440,2017-06-19 06:00:00
459,2017-06-19 07:00:00
469,2017-06-19 08:00:00
478,2017-06-19 09:00:00
482,2017-06-19 10:00:00
483,2017-06-19 11:00:00
483,2017-06-19 12:00:00
483,2017-06-19 13:00:00
481,2017-06-19 14:00:00
481,2017-06-19 15:00:00
482,2017-06-19 16:00:00
481,2017-06-19 17:00:00
478,2017-06-19 18:00:00
474,2017-06-19 19:00:00
472,2017-06-19 20:00:00
467,2017-06-19 21:00:00
451,2017-06-19 22:00:00
435,2017-06-19 23:00:00
426,2017-06-20 00:00:00
418,2017-06-20 01:00:00
412,2017-06-20 02:00:00
410,2017-06-20 03:00:00
411,2017-06-20 04:00:00
419,2017-06-20 05:00:00
437,2017-06-20 06:00:00
455,2017-06-20 07:00:00
462,2017-06-20 08:00:00
469,2017-06-20 09:00:00
471,2017-06-20 10:00:00
470,2017-06-20 11:00:00
469,2017-06-20 12:00:00
470,2017-06-20 13:00:00
468,2017-06-20 14:00:00
466,2017-06-20 15:00:00
468,2017-06-20 16:00:00
468,2017-06-20 17:00:00
466,2017-06-20 18:00:00
464,2017-06-20 19:00:00
461,2017-06-20 20:00:00
458,2017-06-20 21:00:00
442,2017-06-20 22:00:00
426,2017-06-20 23:00:00
412,2017-06-21 00:00:00
404,2017-06-21 01:00:00
399,2017-06-21 02:00:00
397,2017-06-21 03:00:00
400,2017-06-21 04:00:00
409,2017-06-21 05:00:00
428,2017-06-21 06:00:00
447,2017-06-21 07:00:00
455,2017-06-21 08:00:00
465,2017-06-21 09:00:00
465,2017-06-21 10:00:00
465,2017-06-21 11:00:00
464,2017-06-21 12:00:00
465,2017-06-21 13:00:00
464,2017-06-21 14:00:00
464,2017-06-21 15:00:00
466,2017-06-21 16:00:00
466,2017-06-21 17:00:00
464,2017-06-21 18:00:00
462,2017-06-21 19:00:00
461,2017-06-21 20:00:00
460,2017-06-21 21:00:00
444,2017-06-21 22:00:00
429,2017-06-21 23:00:00
